version,variant,feature_set,target,subject_id,mae_min,mae_min_old,mae_min_diff,r2
v0101,with_abs,EMG,lt1,S001,6.2037,,,-0.793
v0101,with_abs,EMG,lt1,S002,3.1953,,,0.011
v0101,with_abs,EMG,lt1,S003,6.3847,,,0.073
v0101,with_abs,EMG,lt1,S004,3.4711,,,0.018
v0101,with_abs,EMG,lt1,S005,7.4193,,,-0.983
v0101,with_abs,EMG,lt1,S006,2.408,,,0.267
v0101,with_abs,EMG,lt1,S007,5.1701,,,-0.37
v0101,with_abs,EMG,lt1,S008,3.2102,,,-0.091
v0101,with_abs,EMG,lt1,S009,9.7915,,,-0.96
v0101,with_abs,EMG,lt1,S010,6.4779,,,0.061
v0101,with_abs,EMG,lt1,S011,3.3348,,,0.171
v0101,with_abs,EMG,lt1,S012,3.3187,,,-0.169
v0101,with_abs,EMG,lt1,S013,5.6203,,,-0.172
v0101,with_abs,EMG,lt1,S014,4.3092,,,0.106
v0101,with_abs,EMG,lt1,S016,3.382,,,0.188
v0101,with_abs,EMG,lt1,S017,4.6419,,,-0.197
v0101,with_abs,EMG,lt1,S018,3.96,,,0.213
v0101,with_abs,EMG,lt1,S019,6.3791,,,0.093
v0101,with_abs,NIRS,lt1,S001,6.4717,,,-0.834
v0101,with_abs,NIRS,lt1,S002,3.3988,,,-0.137
v0101,with_abs,NIRS,lt1,S003,6.5727,,,0.034
v0101,with_abs,NIRS,lt1,S004,3.3137,,,0.115
v0101,with_abs,NIRS,lt1,S005,7.163,,,-0.927
v0101,with_abs,NIRS,lt1,S006,2.5408,,,0.233
v0101,with_abs,NIRS,lt1,S007,5.6368,,,-0.564
v0101,with_abs,NIRS,lt1,S008,2.8205,,,0.149
v0101,with_abs,NIRS,lt1,S009,8.9364,,,-0.667
v0101,with_abs,NIRS,lt1,S010,6.2707,,,0.093
v0101,with_abs,NIRS,lt1,S011,3.5686,,,0.041
v0101,with_abs,NIRS,lt1,S012,3.5159,,,-0.158
v0101,with_abs,NIRS,lt1,S013,5.6782,,,-0.202
v0101,with_abs,NIRS,lt1,S014,4.431,,,0.06
v0101,with_abs,NIRS,lt1,S016,3.8532,,,0.005
v0101,with_abs,NIRS,lt1,S017,4.9129,,,-0.252
v0101,with_abs,NIRS,lt1,S018,4.4409,,,0.027
v0101,with_abs,NIRS,lt1,S019,6.3931,,,0.061
v0101,with_abs,EMG+NIRS,lt1,S001,6.1684,,,-0.773
v0101,with_abs,EMG+NIRS,lt1,S002,3.3953,,,-0.141
v0101,with_abs,EMG+NIRS,lt1,S003,6.4051,,,0.072
v0101,with_abs,EMG+NIRS,lt1,S004,3.167,,,0.146
v0101,with_abs,EMG+NIRS,lt1,S005,7.1937,,,-0.899
v0101,with_abs,EMG+NIRS,lt1,S006,2.2734,,,0.33
v0101,with_abs,EMG+NIRS,lt1,S007,5.0846,,,-0.357
v0101,with_abs,EMG+NIRS,lt1,S008,3.0693,,,0.013
v0101,with_abs,EMG+NIRS,lt1,S009,8.9384,,,-0.663
v0101,with_abs,EMG+NIRS,lt1,S010,6.4223,,,0.079
v0101,with_abs,EMG+NIRS,lt1,S011,3.2179,,,0.204
v0101,with_abs,EMG+NIRS,lt1,S012,3.4175,,,-0.076
v0101,with_abs,EMG+NIRS,lt1,S013,5.7041,,,-0.195
v0101,with_abs,EMG+NIRS,lt1,S014,4.2893,,,0.083
v0101,with_abs,EMG+NIRS,lt1,S016,3.5331,,,0.169
v0101,with_abs,EMG+NIRS,lt1,S017,4.8421,,,-0.22
v0101,with_abs,EMG+NIRS,lt1,S018,3.9648,,,0.219
v0101,with_abs,EMG+NIRS,lt1,S019,6.4043,,,0.087
v0101,with_abs,EMG+NIRS+HRV,lt1,S001,6.3737,,,-0.802
v0101,with_abs,EMG+NIRS+HRV,lt1,S002,3.1819,,,0.033
v0101,with_abs,EMG+NIRS+HRV,lt1,S003,6.5308,,,0.038
v0101,with_abs,EMG+NIRS+HRV,lt1,S004,3.2063,,,0.18
v0101,with_abs,EMG+NIRS+HRV,lt1,S005,7.048,,,-0.87
v0101,with_abs,EMG+NIRS+HRV,lt1,S006,2.41,,,0.294
v0101,with_abs,EMG+NIRS+HRV,lt1,S007,5.3792,,,-0.45
v0101,with_abs,EMG+NIRS+HRV,lt1,S008,2.7087,,,0.234
v0101,with_abs,EMG+NIRS+HRV,lt1,S009,9.1523,,,-0.686
v0101,with_abs,EMG+NIRS+HRV,lt1,S010,6.4312,,,0.076
