architecture_id,model_id,family,target,feature_set,with_abs,wavelet_mode,window_size_sec,sequence_length,stride_sec,sample_stride_sec,model_name,full_model_name,hyperparams_json
Lin6,Lin6_4f5e56ca,Lin,lt1,EMG,True,none,30,1,0,5,"HuberRegressor(epsilon=1.35,max_iter=2000)","HuberRegressor(epsilon=1.35,max_iter=2000) EMG with_abs wavelet=none LT1","{""epsilon"": 1.35, ""max_iter"": 2000}"
Lin6,Lin6_37f45ba4,Lin,lt1,EMG,False,none,30,1,0,5,"HuberRegressor(epsilon=1.35,max_iter=2000)","HuberRegressor(epsilon=1.35,max_iter=2000) EMG no_abs wavelet=none LT1","{""epsilon"": 1.35, ""max_iter"": 2000}"
Lin6,Lin6_339402b6,Lin,lt1,NIRS,True,none,30,1,0,5,"HuberRegressor(epsilon=1.35,max_iter=2000)","HuberRegressor(epsilon=1.35,max_iter=2000) NIRS with_abs wavelet=none LT1","{""epsilon"": 1.35, ""max_iter"": 2000}"
Lin6,Lin6_f69e9bed,Lin,lt1,NIRS,False,none,30,1,0,5,"HuberRegressor(epsilon=1.35,max_iter=2000)","HuberRegressor(epsilon=1.35,max_iter=2000) NIRS no_abs wavelet=none LT1","{""epsilon"": 1.35, ""max_iter"": 2000}"
Lin6,Lin6_0ce61268,Lin,lt1,HRV,True,none,30,1,0,5,"HuberRegressor(epsilon=1.35,max_iter=2000)","HuberRegressor(epsilon=1.35,max_iter=2000) HRV with_abs wavelet=none LT1","{""epsilon"": 1.35, ""max_iter"": 2000}"
Lin6,Lin6_1c76b0e5,Lin,lt1,HRV,False,none,30,1,0,5,"HuberRegressor(epsilon=1.35,max_iter=2000)","HuberRegressor(epsilon=1.35,max_iter=2000) HRV no_abs wavelet=none LT1","{""epsilon"": 1.35, ""max_iter"": 2000}"
Lin6,Lin6_7a9e96aa,Lin,lt1,EMG+NIRS,True,none,30,1,0,5,"HuberRegressor(epsilon=1.35,max_iter=2000)","HuberRegressor(epsilon=1.35,max_iter=2000) EMG+NIRS with_abs wavelet=none LT1","{""epsilon"": 1.35, ""max_iter"": 2000}"
Lin6,Lin6_0827fed8,Lin,lt1,EMG+NIRS,False,none,30,1,0,5,"HuberRegressor(epsilon=1.35,max_iter=2000)","HuberRegressor(epsilon=1.35,max_iter=2000) EMG+NIRS no_abs wavelet=none LT1","{""epsilon"": 1.35, ""max_iter"": 2000}"
Lin6,Lin6_c2d75664,Lin,lt1,EMG+NIRS+HRV,True,none,30,1,0,5,"HuberRegressor(epsilon=1.35,max_iter=2000)","HuberRegressor(epsilon=1.35,max_iter=2000) EMG+NIRS+HRV with_abs wavelet=none LT1","{""epsilon"": 1.35, ""max_iter"": 2000}"
Lin6,Lin6_3afc855e,Lin,lt1,EMG+NIRS+HRV,False,none,30,1,0,5,"HuberRegressor(epsilon=1.35,max_iter=2000)","HuberRegressor(epsilon=1.35,max_iter=2000) EMG+NIRS+HRV no_abs wavelet=none LT1","{""epsilon"": 1.35, ""max_iter"": 2000}"
Lin6,Lin6_8f2e4a8d,Lin,lt2,EMG,True,none,30,1,0,5,"HuberRegressor(epsilon=1.35,max_iter=2000)","HuberRegressor(epsilon=1.35,max_iter=2000) EMG with_abs wavelet=none LT2","{""epsilon"": 1.35, ""max_iter"": 2000}"
Lin6,Lin6_1cea59b7,Lin,lt2,EMG,False,none,30,1,0,5,"HuberRegressor(epsilon=1.35,max_iter=2000)","HuberRegressor(epsilon=1.35,max_iter=2000) EMG no_abs wavelet=none LT2","{""epsilon"": 1.35, ""max_iter"": 2000}"
Lin6,Lin6_9709980a,Lin,lt2,NIRS,True,none,30,1,0,5,"HuberRegressor(epsilon=1.35,max_iter=2000)","HuberRegressor(epsilon=1.35,max_iter=2000) NIRS with_abs wavelet=none LT2","{""epsilon"": 1.35, ""max_iter"": 2000}"
Lin6,Lin6_2bf3f19f,Lin,lt2,NIRS,False,none,30,1,0,5,"HuberRegressor(epsilon=1.35,max_iter=2000)","HuberRegressor(epsilon=1.35,max_iter=2000) NIRS no_abs wavelet=none LT2","{""epsilon"": 1.35, ""max_iter"": 2000}"
