architecture_id,model_id,family,target,feature_set,with_abs,wavelet_mode,window_size_sec,sequence_length,stride_sec,sample_stride_sec,model_name,full_model_name,hyperparams_json
Lin28,Lin28_510231c5,Lin,lt1,EMG,True,none,30,1,0,5,"SVR(C=100,epsilon=0.1,kernel=rbf)","SVR(C=100,epsilon=0.1,kernel=rbf) EMG with_abs wavelet=none LT1","{""C"": 100, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
Lin28,Lin28_74501246,Lin,lt1,EMG,False,none,30,1,0,5,"SVR(C=100,epsilon=0.1,kernel=rbf)","SVR(C=100,epsilon=0.1,kernel=rbf) EMG no_abs wavelet=none LT1","{""C"": 100, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
Lin28,Lin28_c0a6b874,Lin,lt1,NIRS,True,none,30,1,0,5,"SVR(C=100,epsilon=0.1,kernel=rbf)","SVR(C=100,epsilon=0.1,kernel=rbf) NIRS with_abs wavelet=none LT1","{""C"": 100, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
Lin28,Lin28_9fc056c3,Lin,lt1,NIRS,False,none,30,1,0,5,"SVR(C=100,epsilon=0.1,kernel=rbf)","SVR(C=100,epsilon=0.1,kernel=rbf) NIRS no_abs wavelet=none LT1","{""C"": 100, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
Lin28,Lin28_63f0fb00,Lin,lt1,HRV,True,none,30,1,0,5,"SVR(C=100,epsilon=0.1,kernel=rbf)","SVR(C=100,epsilon=0.1,kernel=rbf) HRV with_abs wavelet=none LT1","{""C"": 100, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
Lin28,Lin28_3dc150cb,Lin,lt1,HRV,False,none,30,1,0,5,"SVR(C=100,epsilon=0.1,kernel=rbf)","SVR(C=100,epsilon=0.1,kernel=rbf) HRV no_abs wavelet=none LT1","{""C"": 100, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
Lin28,Lin28_7537c4f6,Lin,lt1,EMG+NIRS,True,none,30,1,0,5,"SVR(C=100,epsilon=0.1,kernel=rbf)","SVR(C=100,epsilon=0.1,kernel=rbf) EMG+NIRS with_abs wavelet=none LT1","{""C"": 100, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
Lin28,Lin28_f810411f,Lin,lt1,EMG+NIRS,False,none,30,1,0,5,"SVR(C=100,epsilon=0.1,kernel=rbf)","SVR(C=100,epsilon=0.1,kernel=rbf) EMG+NIRS no_abs wavelet=none LT1","{""C"": 100, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
Lin28,Lin28_bcef4a63,Lin,lt1,EMG+NIRS+HRV,True,none,30,1,0,5,"SVR(C=100,epsilon=0.1,kernel=rbf)","SVR(C=100,epsilon=0.1,kernel=rbf) EMG+NIRS+HRV with_abs wavelet=none LT1","{""C"": 100, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
Lin28,Lin28_96415d6f,Lin,lt1,EMG+NIRS+HRV,False,none,30,1,0,5,"SVR(C=100,epsilon=0.1,kernel=rbf)","SVR(C=100,epsilon=0.1,kernel=rbf) EMG+NIRS+HRV no_abs wavelet=none LT1","{""C"": 100, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
Lin28,Lin28_8b060005,Lin,lt2,EMG,True,none,30,1,0,5,"SVR(C=100,epsilon=0.1,kernel=rbf)","SVR(C=100,epsilon=0.1,kernel=rbf) EMG with_abs wavelet=none LT2","{""C"": 100, ""epsilon"": 0.1, ""kernel"": ""rbf""}"
